beginTime,classType,EventOccurred
2014-02-28T00:44Z,M1.1,1
2014-03-08T23:26Z,M1.4,1
2014-03-09T13:52Z,M1.0,1
2014-03-09T20:13Z,M1.0,1
2014-03-10T00:19Z,M1.1,1
2014-03-10T15:21Z,M1.7,1
2014-03-10T22:45Z,M1.4,1
2014-03-11T03:44Z,M3.5,1
2014-03-11T11:59Z,M1.7,1
2014-03-12T10:55Z,M2.5,1
2014-03-12T22:28Z,M9.3,1
2014-03-13T19:03Z,M1.2,1
2014-03-20T03:42Z,M1.7,1
2014-03-22T06:58Z,M1.1,1
2014-03-28T19:04Z,M2.0,1
2014-03-28T23:44Z,M2.6,1
2014-03-29T17:36Z,X1.0,1
2014-03-30T11:48Z,M2.1,1
2014-03-31T07:20Z,M1.4,1
2014-04-02T13:18Z,M6.5,1
2014-04-16T19:54Z,M1.0,1
2014-04-18T12:31Z,M7.3,1
2014-04-22T05:25Z,C3.6,1
2014-04-25T00:17Z,X1.3,1
2014-05-06T08:40Z,M1.8,1
2014-05-06T22:01Z,M1.0,1
2014-05-07T16:07Z,M1.2,1
2014-05-08T09:59Z,M5.2,1
2014-05-24T18:26Z,M1.3,1
2014-06-03T03:58Z,M1.3,1
2014-06-06T19:28Z,M1.4,1
2014-06-10T06:20Z,C2.4,1
2014-06-10T06:59Z,C1.7,1
2014-06-10T08:19Z,C3.9,1
2014-06-10T10:04Z,C5.0,1
2014-06-10T11:38Z,X2.2,1
2014-06-10T12:38Z,X1.5,1
2014-06-11T05:30Z,M1.8,1
2014-06-11T08:00Z,M3.0,1
2014-06-11T08:59Z,X1.0,1
2014-06-11T20:53Z,M3.9,1
2014-06-12T04:14Z,M2.0,1
2014-06-12T09:24Z,M1.8,1
2014-06-12T10:14Z,M2.7,1
2014-06-12T18:03Z,M1.3,1
2014-06-12T19:56Z,M1.1,1
2014-06-12T21:01Z,M1.0,1
2014-06-12T21:39Z,M3.1,1
2014-06-13T07:49Z,M2.6,1
2014-06-14T19:25Z,M1.4,1
2014-06-15T11:10Z,M1.1,1
